,Source_Name,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Index,Unc_PL_Index,CLASS,ASSOC1,RA_Counterpart,DEC_Counterpart,Unc_Counterpart,Redshift,SED_class,nu_syn,nuFnu_syn,Variability_Index,Frac_Variability,Unc_Frac_Variability,Highest_energy
59,4FGL J0058.0-3233,1.39537e-09,6.862059e-11,1.2366161e-11,7.8419156e-13,LogParabola,2.1080673,0.032410286,bll,PKS 0055-328,14.5092929833,-32.5724306389,2.399999914359796e-07,-inf,LSP,36307804000000.0,2.1800025e-12,66.113235,0.3406405,0.09273061,27.1647
60,4FGL J0058.3+1723,5.5000504e-11,2.2181246e-11,4.378163e-12,1.1698573e-12,PowerLaw,1.6250492,0.20808567,bll,RX J00582+1723,14.56991958618164,17.3870792388916,0.0045,-inf,HSP,1.99526228e+16,1.0412452e-12,7.5024614,0.0,10.0,51.3791
61,4FGL J0059.3-0152,2.2207318e-10,3.7529316e-11,2.564124e-12,4.9131164e-13,PowerLaw,1.8054401,0.11145315,bll,RX J0059.3-0150,14.8205318875,-1.83824018611,6.099999723119254e-07,0.144,HSP,9.2257143e+16,2.4678456e-12,8.876599,0.0,10.0,97.8648
62,4FGL J0059.5-3512,1.3826731e-10,2.576474e-11,1.8512557e-12,3.4179742e-13,PowerLaw,1.9390283,0.12927386,bll,1RXS J005932.3-351049,14.8811439417,-35.1803412611,8.600000001024455e-06,-inf,,0.0,0.0,14.825935,0.47803748,0.2896209,-inf
63,4FGL J0100.3+0745,1.6453374e-09,8.014835e-11,1.3141165e-11,1.0175209e-12,LogParabola,1.9098004,0.03199398,bll,GB6 J0100+0745,15.0866099833,7.76427985556,2.0000000233721948e-07,-inf,ISP,380189398000000.0,4.865741e-13,42.31318,0.2806635,0.08543796,38.5405
64,4FGL J0101.0-0059,1.5720822e-10,3.2262158e-11,2.091334e-12,5.5582394e-13,PowerLaw,2.3781888,0.18318786,bll,NVSS J010058-005547,15.2424520625,-0.929946438889,7.200000027296483e-07,0.67,ISP,158489326000000.0,8.063359e-13,13.592396,0.3249546,0.3943688,-inf
65,4FGL J0102.4+0942,1.876879e-10,4.3154733e-11,2.2894327e-12,5.6664704e-13,PowerLaw,1.9697081,0.16266273,bll,2MASS J01021713+0944098,15.5713013375,9.73599622778,2.0000000233721948e-07,0.42,,0.0,0.0,12.01164,0.24041417,0.601457,67.2692
66,4FGL J0103.5+1526,1.7437181e-10,3.541172e-11,2.3430693e-12,5.273088e-13,PowerLaw,2.2414632,0.14498681,bll,TXS 0100+151,15.8583404667,15.4401847778,4.599999954280065e-07,0.246,,0.0,0.0,3.8759549,0.0,10.0,59.4188
67,4FGL J0103.8+1321,2.4510408e-10,3.6601975e-11,3.5414946e-12,4.7605333e-13,PowerLaw,2.0816712,0.11731188,bll,NVSS J010345+132346,15.9405876542,13.3959049639,9.27332806099912e-08,0.49,,0.0,0.0,36.142384,0.8332264,0.26638603,45.4329
68,4FGL J0105.1+3929,4.649062e-10,4.211412e-11,6.6346846e-12,5.182591e-13,PowerLaw,2.304167,0.0637348,bll,GB6 J0105+3928,16.288315625,39.470923075,1.700000069604357e-07,0.44,LSP,25118864600000.0,4.203935e-12,80.30953,0.7974271,0.20878498,18.85
